first_bug_hit_ratio,second_bug_hit_ratio,file
0.24,0.13,15
0.24,0.14,11
0.24,0.15,12
0.24,0.16,6
0.24,0.17,12
0.24,0.18,13
0.24,0.19,9
0.24,0.2,12
0.24,0.21,11
0.24,0.22,4
0.24,0.23,6
0.24,0.24,8
0.24,0.25,9
0.24,0.26,4
0.24,0.27,5
0.24,0.28,2
0.24,0.29,4
0.24,0.3,5
0.24,0.31,7
0.24,0.32,3
0.24,0.33,12
0.24,0.34,2
0.24,0.35,5
0.24,0.36,2
0.24,0.38,6
0.24,0.39,3
0.24,0.4,4
0.24,0.41,4
0.24,0.42,3
0.24,0.43,4
0.24,0.45,2
0.24,0.46,1
0.24,0.5,5
0.24,0.6,1
0.24,0.67,1
0.24,0.76,1
0.24,0.78,1
0.25,0.0,49
0.25,0.01,2
0.25,0.03,6
0.25,0.04,8
0.25,0.05,10
0.25,0.06,16
0.25,0.07,16
0.25,0.08,20
0.25,0.09,18
0.25,0.1,22
0.25,0.11,10
0.25,0.12,17
0.25,0.13,16
0.25,0.14,15
0.25,0.15,13
0.25,0.16,5
0.25,0.17,23
0.25,0.18,9
0.25,0.19,12
0.25,0.2,18
0.25,0.21,20
0.25,0.22,11
0.25,0.23,10
0.25,0.24,11
0.25,0.25,10
0.25,0.26,3
0.25,0.27,16
0.25,0.28,7
0.25,0.29,7
0.25,0.3,8
0.25,0.31,5
0.25,0.32,3
0.25,0.33,10
0.25,0.35,2
0.25,0.36,5
0.25,0.37,2
0.25,0.38,2
0.25,0.39,1
0.25,0.4,8
0.25,0.41,2
0.25,0.42,3
0.25,0.43,3
0.25,0.45,1
0.25,0.46,1
0.25,0.47,1
0.25,0.48,2
0.25,0.5,5
0.25,0.53,1
0.25,0.54,1
0.25,0.55,2
0.25,0.58,1
0.25,0.6,3
0.25,0.68,1
0.25,0.75,1
0.25,0.78,1
0.26,0.0,19
0.26,0.02,2
0.26,0.03,3
0.26,0.04,1
0.26,0.05,8
0.26,0.06,3
0.26,0.07,6
0.26,0.08,8
