,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,comment
42,MultipleVariableDeclarations,60,10828,51,11115,22054,0.49,0.51,0.01,0.54,0.07,0.01,0.0,0.01,0.49,0.0,-0.03,
47,VariableDeclarationUsageDistance,236,10678,201,10939,22054,0.49,0.51,0.02,0.54,0.07,0.02,0.02,0.02,0.49,0.0,-0.02,
14,MethodName,35,10849,30,11140,22054,0.49,0.51,0.0,0.54,0.06,0.0,0.0,0.0,0.49,0.0,-0.03,
59,DeclarationOrder,506,10434,445,10669,22054,0.5,0.51,0.04,0.53,0.05,0.05,0.04,0.04,0.49,0.0,-0.02,
94,NestedIfDepth,410,10521,358,10765,22054,0.5,0.51,0.03,0.53,0.05,0.04,0.03,0.04,0.49,0.0,-0.02,
82,TrailingComment,378,10547,332,10797,22054,0.5,0.51,0.03,0.53,0.05,0.03,0.03,0.03,0.49,0.0,-0.02,
21,VisibilityModifier,406,10523,356,10769,22054,0.5,0.51,0.03,0.53,0.05,0.04,0.03,0.04,0.49,0.0,-0.02,
58,JavadocMethod,472,10455,424,10703,22054,0.5,0.51,0.04,0.53,0.04,0.04,0.04,0.04,0.49,0.0,-0.02,
1,JavadocPackage,152,10743,136,11023,22054,0.49,0.51,0.01,0.53,0.04,0.01,0.01,0.01,0.49,0.0,-0.03,
138,MemberName,64,10822,57,11111,22054,0.49,0.51,0.01,0.53,0.04,0.01,0.01,0.01,0.49,0.0,-0.03,
100,NPathComplexity,254,10653,226,10921,22054,0.49,0.51,0.02,0.53,0.04,0.02,0.02,0.02,0.49,0.0,-0.02,
135,FinalLocalVariable,1071,9899,980,10104,22054,0.5,0.51,0.09,0.52,0.03,0.1,0.09,0.09,0.49,0.01,-0.02,
95,InterfaceMemberImpliedModifier,89,10798,81,11086,22054,0.49,0.51,0.01,0.52,0.03,0.01,0.01,0.01,0.49,0.0,-0.03,
