repo_name,year,Sum_of_Smells,file,MethodLength,NPathComplexity,AvoidInlineConditionals,NestedIfDepth,VisibilityModifier,ccp
Longri/cachebox3.0,2017,10932.0,83,5.0,36.0,50.0,70.0,250.0,0.20020438799076207
Longri/cachebox3.0,2018,9326.0,51,4.0,17.0,54.0,61.0,196.0,0.32808272506082725
Longri/cachebox3.0,2019,9918.0,55,4.0,16.0,68.0,73.0,202.0,0.34003217158176946
M66B/NetGuard,2017,5547.0,9,8.0,20.0,154.0,46.0,78.0,0.12863235294117648
M66B/NetGuard,2018,3903.0,4,5.0,18.0,106.0,49.0,43.0,0.1778157894736842
M66B/NetGuard,2019,2041.0,1,3.0,15.0,30.0,37.0,6.0,0.2031688888888889
MCMrARM/revolution-irc,2017,6516.0,31,0.0,19.0,87.0,38.0,69.0,0.3271235955056179
MCMrARM/revolution-irc,2018,626.0,3,0.0,0.0,4.0,4.0,1.0,0.24944827586206894
MCMrARM/revolution-irc,2019,1414.0,7,0.0,3.0,9.0,1.0,1.0,0.3083302325581395
MSG134/IVCT_Framework,2017,4073.0,26,1.0,4.0,5.0,10.0,47.0,0.13912666666666668
MSG134/IVCT_Framework,2018,4376.0,18,2.0,4.0,4.0,31.0,27.0,0.06388432835820895
MSG134/IVCT_Framework,2019,7777.0,49,2.0,7.0,9.0,44.0,67.0,0.09473362445414844
Mantaro/MantaroBot,2017,1820.0,6,3.0,1.0,0.0,5.0,2.0,0.2374611590628853
