,feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
107,JavadocTagContinuationIndentation,212.0,24248.0,1256.0,7319.0,33035.0,0.74,0.23,0.04,0.14,-0.37,0.03,0.05,0.02,0.75,-0.01,-0.04,0.77,0.26,0.0,
108,CatchParameterName,166.0,24470.0,1034.0,7365.0,33035.0,0.75,0.23,0.04,0.14,-0.39,0.02,0.04,0.02,0.75,-0.01,-0.03,0.77,0.23,0.0,
109,NonEmptyAtclauseDescription,409.0,22984.0,2520.0,7122.0,33035.0,0.71,0.23,0.09,0.14,-0.39,0.05,0.1,0.04,0.72,-0.02,-0.08,0.77,0.43,0.0,
110,MethodParamPad,96.0,24905.0,599.0,7435.0,33035.0,0.76,0.23,0.02,0.14,-0.39,0.01,0.02,0.01,0.76,-0.0,-0.02,0.77,0.15,0.0,
111,ParameterAssignment,509.0,22332.0,3172.0,7022.0,33035.0,0.69,0.23,0.11,0.14,-0.39,0.07,0.12,0.05,0.71,-0.03,-0.1,0.77,0.5,0.0,
112,SimplifyBooleanExpression,52.0,25176.0,328.0,7479.0,33035.0,0.76,0.23,0.01,0.14,-0.4,0.01,0.01,0.01,0.77,-0.0,-0.01,0.77,0.09,0.0,
113,ArrayTrailingComma,79.0,25001.0,503.0,7452.0,33035.0,0.76,0.23,0.02,0.14,-0.4,0.01,0.02,0.01,0.76,-0.0,-0.02,0.77,0.13,0.0,
114,InvalidJavadocPosition,118.0,24738.0,766.0,7413.0,33035.0,0.75,0.23,0.03,0.13,-0.41,0.02,0.03,0.01,0.76,-0.01,-0.03,0.77,0.18,0.0,
115,EmptyForIteratorPad,45.0,25214.0,290.0,7486.0,33035.0,0.76,0.23,0.01,0.13,-0.41,0.01,0.01,0.01,0.77,-0.0,-0.01,0.77,0.08,0.0,
116,ParameterName,100.0,24845.0,659.0,7431.0,33035.0,0.76,0.23,0.02,0.13,-0.42,0.01,0.03,0.01,0.76,-0.01,-0.02,0.77,0.16,0.0,
117,CovariantEquals,2.0,25491.0,13.0,7529.0,33035.0,0.77,0.23,0.0,0.13,-0.42,0.0,0.0,0.0,0.77,-0.0,-0.0,0.77,0.01,0.0,
