feature,true_positives,true_negatives,false_positives,false_negatives,samples,accuracy,positive_rate,hit_rate,precision,precision_lift,recall,fpr,jaccard,independent_prob,lift_over_independent,lift_over_majority,concept_entropy,classifier_entropy,mutual_information,comment
AvoidNestedBlocks,31,13417,43,9037,22528,0.6,0.4,0.0,0.42,0.04,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.03,0.0,
AvoidStarImport,175,13216,244,8893,22528,0.59,0.4,0.02,0.42,0.04,0.02,0.02,0.02,0.59,0.0,-0.01,0.97,0.13,0.0,
EmptyForIteratorPad,13,13442,18,9055,22528,0.6,0.4,0.0,0.42,0.04,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.02,0.0,
StringLiteralEquality,5,13453,7,9063,22528,0.6,0.4,0.0,0.42,0.04,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.01,0.0,
avg_coupling_code_size_cut,4137,7707,5753,4931,22528,0.53,0.4,0.44,0.42,0.04,0.46,0.43,0.28,0.51,0.03,-0.12,0.97,0.99,0.0,
DesignForExtension,567,12657,803,8501,22528,0.59,0.4,0.06,0.41,0.03,0.06,0.06,0.06,0.59,0.0,-0.02,0.97,0.33,0.0,
EmptyLineSeparator,675,12512,948,8393,22528,0.59,0.4,0.07,0.42,0.03,0.07,0.07,0.07,0.58,0.0,-0.02,0.97,0.37,0.0,
SeparatorWrap,396,12902,558,8672,22528,0.59,0.4,0.04,0.42,0.03,0.04,0.04,0.04,0.59,0.0,-0.01,0.97,0.25,0.0,
AnonInnerLength,143,13255,205,8925,22528,0.59,0.4,0.02,0.41,0.02,0.02,0.02,0.02,0.59,0.0,-0.0,0.97,0.12,0.0,
ClassFanOutComplexity,93,13326,134,8975,22528,0.6,0.4,0.01,0.41,0.02,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.08,0.0,
EmptyBlock,54,13382,78,9014,22528,0.6,0.4,0.01,0.41,0.02,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.05,0.0,
ModifiedControlVariable,21,13430,30,9047,22528,0.6,0.4,0.0,0.41,0.02,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.02,0.0,
MultipleStringLiterals,573,12637,823,8495,22528,0.59,0.4,0.06,0.41,0.02,0.06,0.06,0.06,0.59,0.0,-0.02,0.97,0.34,0.0,
VariableDeclarationUsageDistance,180,13203,257,8888,22528,0.59,0.4,0.02,0.41,0.02,0.02,0.02,0.02,0.59,0.0,-0.01,0.97,0.14,0.0,
AbbreviationAsWordInName,29,13418,42,9039,22528,0.6,0.4,0.0,0.41,0.01,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.03,0.0,
ConstantName,102,13312,148,8966,22528,0.6,0.4,0.01,0.41,0.01,0.01,0.01,0.01,0.6,0.0,-0.0,0.97,0.09,0.0,
MissingCtor,188,13185,275,8880,22528,0.59,0.4,0.02,0.41,0.01,0.02,0.02,0.02,0.59,0.0,-0.01,0.97,0.14,0.0,
HiddenField,449,12795,665,8619,22528,0.59,0.4,0.05,0.4,0.0,0.05,0.05,0.05,0.59,0.0,-0.02,0.97,0.28,0.0,
ParameterAssignment,131,13264,196,8937,22528,0.59,0.4,0.01,0.4,-0.0,0.01,0.01,0.01,0.59,-0.0,-0.0,0.97,0.11,0.0,
SimplifyBooleanExpression,21,13429,31,9047,22528,0.6,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.6,0.0,-0.0,0.97,0.02,0.0,
SummaryJavadoc,281,13041,419,8787,22528,0.59,0.4,0.03,0.4,-0.0,0.03,0.03,0.03,0.59,-0.0,-0.01,0.97,0.2,0.0,
WhitespaceAfter,460,12782,678,8608,22528,0.59,0.4,0.05,0.4,0.0,0.05,0.05,0.05,0.59,0.0,-0.02,0.97,0.29,0.0,
file_ccp,3919,7649,5811,5149,22528,0.51,0.4,0.43,0.4,0.0,0.43,0.43,0.26,0.51,0.0,-0.14,0.97,0.99,0.0,
CommentsIndentation,250,13080,380,8818,22528,0.59,0.4,0.03,0.4,-0.01,0.03,0.03,0.03,0.59,-0.0,-0.01,0.97,0.18,0.0,
JavadocStyle,210,13141,319,8858,22528,0.59,0.4,0.02,0.4,-0.01,0.02,0.02,0.02,0.59,-0.0,-0.01,0.97,0.16,0.0,
MagicNumber,430,12814,646,8638,22528,0.59,0.4,0.05,0.4,-0.01,0.05,0.05,0.04,0.59,-0.0,-0.02,0.97,0.28,0.0,
SimplifyBooleanReturn,8,13448,12,9060,22528,0.6,0.4,0.0,0.4,-0.01,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.01,0.0,
random_metric,4411,6840,6620,4657,22528,0.5,0.4,0.49,0.4,-0.01,0.49,0.49,0.28,0.5,-0.01,-0.16,0.97,1.0,0.0,
ArrayTypeStyle,19,13431,29,9049,22528,0.6,0.4,0.0,0.4,-0.02,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.02,0.0,
ClassMemberImpliedModifier,44,13393,67,9024,22528,0.6,0.4,0.0,0.4,-0.02,0.0,0.0,0.0,0.6,-0.0,-0.0,0.97,0.04,0.0,
JavadocPackage,111,13289,171,8957,22528,0.59,0.4,0.01,0.39,-0.02,0.01,0.01,0.01,0.6,-0.0,-0.0,0.97,0.1,0.0,
